Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		20868	37.8	20868	40.4	
		20898	37.8	20898	40.4	
		20958	37.8	20958	40.4	
		20988	37.8	20988	40.4	
		21018	38.9	21018	40.5	
		21049	38.9	21049	40.5	
		21109	38.9	21109	41.6	
		21139	38.9	21139	41.6	
		21169	38.9	21169	41.6	
		21229	38.9	21229	41.6	
		21259	38.9	21259	41.6	
		21289	38.9	21289	41.6	
		21319	38.9	21319	40.5	
		21379	38.9	21379	40.5	
		21409	37.8	21409	40.5	
		21439	38.9	21439	40.4	
		21499	37.8	21499	40.4	
		21529	37.8	21529	40.4	
		21559	37.8	21559	40.4	
		21589	36.7	21589	40.4	
		21619	36.7	21619	39.4	
		21679	36.7	21679	39.4	
		21709	35.6	21709	39.3	
		21739	36.7	21739	38.2	
		21800	35.5	21800	38.2	
		21830	35.5	21830	38.2	
		21860	35.5	21860	38.2	
		21890	35.5	21890	37.2	
		21950	35.5	21950	37.1	
		21980	35.5	21980	37.1	
		22010	34.5	22010	37.1	
		22070	34.5	22070	37.1	
		22100	34.4	22100	38.2	
		22130	34.5	22130	38.2	
		22160	34.5	22160	38.2	
		22220	35.5	22220	38.2	
		22250	35.6	22250	38.2	
		22280	36.7	22280	38.3	
		22310	36.7	22310	39.4	
		22370	37.8	22370	40.4	
		22400	37.8	22400	40.4	
		22430	37.8	22430	40.5	
		22460	38.9	22460	40.6	
		22521	40.0	22521	42.7	
		22551	40.0	22551	42.7	
		22581	41.1	22581	42.8	
		22611	41.1	22611	43.8	
		22671	42.2	22671	44.9	
		22701	43.3	22701	45.0	
		22731	44.4	22731	46.1	
		22791	44.4	22791	47.2	
		22821	45.5	22821	48.3	
		22851	46.6	22851	48.3	
		22881	46.6	22881	49.4	
		22941	47.7	22941	50.5	
		22971	48.8	22971	50.6	
		23001	49.9	23001	51.7	
		23031	49.9	23031	52.7	
		23091	51.0	23091	53.9	
		23121	52.1	23121	55.0	
		23151	52.1	23151	55.0	
		23181	53.2	23181	56.1	
		23242	54.3	23242	57.2	
		23272	55.4	23272	57.2	
		23302	55.4	23302	58.3	
		23362	55.4	23362	58.3	
		23392	55.5	23392	58.4	
		23422	56.5	23422	59.5	
		23452	57.6	23452	59.5	
		23512	57.6	23512	60.5	
		23542	57.6	23542	60.5	
		23572	57.6	23572	60.5	
		23602	57.6	23602	60.5	
		23662	57.6	23662	60.5	
		23692	57.6	23692	60.5	
		23722	57.6	23722	60.5	
		23752	57.6	23752	59.5	
		23812	56.5	23812	60.5	
		23842	57.6	23842	59.5	
		23872	56.5	23872	59.5	
		23932	56.5	23932	59.5	
		23962	56.5	23962	59.5	
		23993	56.5	23993	58.4	
		24023	55.4	24023	59.4	
		24083	56.5	24083	58.4	
		24113	55.4	24113	58.4	
		24143	55.4	24143	58.4	
		24173	56.5	24173	58.4	
		24233	56.5	24233	58.4	
		24263	55.4	24263	58.4	
		24293	56.5	24293	58.4	
		24323	56.5	24323	59.4	
		24383	56.5	24383	59.4	
		24413	56.5	24413	59.5	
		24443	56.5	24443	59.5	
		24503	56.5	24503	59.5	
		24533	56.5	24533	59.5	
		24563	56.5	24563	59.5	
		24593	56.6	24593	59.5	
		24653	56.5	24653	59.5	
		24683	56.5	24683	59.5	
		24713	57.6	24713	59.5	
		24773	56.6	24773	59.5	
		24803	57.6	24803	59.5	
		24834	57.6	24834	60.6	
		24864	57.6	24864	60.6	
		24894	57.6	24894	60.6	
		24954	58.7	24954	60.6	
		24984	57.6	24984	61.7	
		25014	58.7	25014	61.7	
		25074	58.7	25074	61.7	
		25104	58.7	25104	61.7	
		25134	58.7	25134	61.7	
		25164	58.7	25164	61.7	
		25224	58.7	25224	61.7	
		25254	57.7	25254	61.7	
		25284	58.7	25284	61.7	
		25314	58.7	25314	61.7	
		25374	58.7	25374	61.7	
		25404	58.7	25404	61.7	
		25434	58.8	25434	61.7	
		25464	58.7	25464	61.7	
		25524	59.8	25524	61.7	
		25554	58.8	25554	61.7	
		25585	59.8	25585	62.8	
		25645	60.9	25645	62.8	
		25675	60.9	25675	63.9	
		25705	60.9	25705	63.9	
		25735	60.9	25735	63.9	
		25795	60.9	25795	63.9	
		25825	61.0	25825	63.9	
		25855	60.9	25855	63.9	
		25885	62.0	25885	63.9	
		25945	60.9	25945	63.9	
		25975	61.0	25975	63.9	
		26005	62.0	26005	63.9	
		26035	62.1	26035	64.0	
		26095	62.0	26095	64.0	
		26125	62.1	26125	66.1	
		26155	63.1	26155	66.1	
		26185	64.3	26185	66.1	
		26245	64.3	26245	66.2	
		26275	65.4	26275	68.4	
		26305	65.4	26305	68.4	
		26365	66.5	26365	69.5	
		26395	67.6	26395	70.6	
		26426	68.7	26426	70.6	
