Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		7999	34.5	7999	38.2	
		7969	35.5	7969	38.2	
		7909	35.5	7909	38.2	
		7879	35.5	7879	38.2	
		7849	35.6	7849	38.2	
		7789	35.6	7789	38.2	
		7759	36.7	7759	38.2	
		7729	36.7	7729	38.3	
		7699	36.7	7699	38.3	
		7639	36.7	7639	38.3	
		7609	36.7	7609	38.3	
		7579	36.7	7579	38.3	
		7549	36.7	7549	39.4	
		7489	36.7	7489	40.4	
		7459	36.7	7459	40.4	
		7429	37.8	7429	40.4	
		7399	37.8	7399	40.4	
		7339	37.8	7339	40.5	
		7309	37.8	7309	40.4	
		7279	37.8	7279	40.5	
		7219	38.9	7219	40.5	
		7189	38.9	7189	40.5	
		7159	38.9	7159	41.6	
		7129	38.9	7129	40.5	
		7069	38.9	7069	41.6	
		7039	38.9	7039	41.6	
		7009	38.9	7009	41.6	
		6979	40.0	6979	41.6	
		6919	40.0	6919	42.7	
		6889	40.0	6889	42.7	
		6859	40.0	6859	42.7	
		6829	40.0	6829	42.7	
		6769	40.0	6769	42.7	
		6739	40.0	6739	42.7	
		6708	41.1	6708	42.8	
		6678	41.1	6678	43.9	
		6618	42.2	6618	44.9	
		6588	42.2	6588	44.9	
		6558	42.2	6558	45.0	
		6528	43.3	6528	45.0	
		6468	44.4	6468	47.1	
		6438	44.4	6438	47.2	
		6408	44.4	6408	47.2	
		6348	44.4	6348	48.3	
		6318	45.5	6318	48.3	
		6288	46.6	6288	48.3	
		6258	46.6	6258	49.4	
		6198	46.6	6198	49.4	
		6168	46.6	6168	50.5	
		6138	47.7	6138	50.5	
		6108	48.8	6108	50.5	
		6048	48.8	6048	50.6	
		6018	48.8	6018	52.7	
		5988	48.8	5988	52.7	
		5928	49.9	5928	52.7	
		5898	51.0	5898	52.8	
		5868	51.0	5868	52.9	
		5838	51.0	5838	55.0	
		5778	51.0	5778	55.0	
		5748	52.1	5748	55.0	
		5718	53.2	5718	55.0	
		5688	53.2	5688	55.0	
		5628	53.2	5628	55.1	
		5598	53.2	5598	57.2	
		5568	53.2	5568	57.2	
		5538	53.2	5538	57.2	
		5478	53.2	5478	57.2	
		5448	54.3	5448	57.2	
		5418	54.3	5418	57.2	
		5358	55.4	5358	57.2	
		5328	55.4	5328	57.2	
		5298	54.3	5298	57.2	
		5268	55.4	5268	57.2	
		5208	55.4	5208	57.2	
		5178	55.4	5178	57.2	
		5148	55.4	5148	57.3	
