Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		7591	25.6	7591	27.1	
		7561	24.5	7561	27.1	
		7501	24.5	7501	27.1	
		7471	24.5	7471	27.1	
		7441	24.5	7441	27.1	
		7411	24.5	7411	27.1	
		7351	24.5	7351	27.1	
		7321	24.5	7321	27.1	
		7291	24.5	7291	27.1	
		7261	24.5	7261	27.1	
		7201	24.5	7201	27.1	
		7171	24.5	7171	27.1	
		7141	25.6	7141	28.2	
		7081	25.6	7081	27.1	
		7051	25.6	7051	28.2	
		7021	25.6	7021	28.2	
		6991	25.6	6991	28.2	
		6931	25.6	6931	28.2	
		6901	25.6	6901	29.3	
		6871	25.6	6871	29.3	
		6841	25.6	6841	29.3	
		6781	26.7	6781	28.2	
		6751	26.7	6751	28.2	
		6721	26.7	6721	28.3	
		6691	26.7	6691	30.4	
		6631	27.8	6631	30.4	
		6601	27.8	6601	30.4	
		6571	28.9	6571	30.4	
		6511	28.9	6511	30.4	
		6481	28.9	6481	30.5	
		6451	28.9	6451	32.6	
		6421	30.0	6421	32.6	
		6361	30.0	6361	32.6	
		6331	30.0	6331	32.6	
		6301	30.0	6301	32.7	
		6271	31.1	6271	33.8	
		6211	31.1	6211	34.9	
		6181	32.2	6181	34.9	
		6151	32.2	6151	34.9	
		6121	33.3	6121	36.0	
		6061	33.3	6061	36.0	
		6031	34.4	6031	37.1	
		6001	34.5	6001	37.1	
		5971	35.5	5971	38.2	
		5911	35.6	5911	38.3	
		5881	36.7	5881	40.4	
		5851	37.8	5851	40.4	
		5791	37.8	5791	41.6	
		5761	38.9	5761	41.6	
		5731	40.0	5731	42.7	
		5701	40.0	5701	43.8	
		5641	41.1	5641	43.8	
		5611	42.2	5611	45.0	
		5581	43.3	5581	46.0	
		5551	43.3	5551	46.1	
		5491	44.4	5491	47.2	
		5461	45.5	5461	48.3	
		5431	45.5	5431	48.3	
		5371	45.5	5371	49.4	
		5341	46.6	5341	49.4	
		5311	47.7	5311	49.5	
		5281	47.7	5281	50.5	
		5221	47.7	5221	51.6	
		5190	48.8	5190	51.6	
		5160	48.8	5160	51.6	
		5130	48.8	5130	51.7	
		5070	48.8	5070	52.7	
		5040	49.9	5040	52.7	
		5010	49.9	5010	52.7	
		4950	49.9	4950	52.7	
		4920	49.9	4920	52.7	
		4890	49.9	4890	52.7	
		4860	49.9	4860	52.8	
		4800	49.9	4800	52.8	
		4770	49.9	4770	52.8	
		4740	49.9	4740	52.8	
		4710	49.9	4710	52.8	
		4650	48.8	4650	51.7	
		4620	48.8	4620	51.7	
		4590	48.8	4590	51.7	
		4560	48.8	4560	51.6	
		4500	48.8	4500	51.6	
		4470	48.8	4470	51.6	
		4440	48.8	4440	51.6	
		4410	48.8	4410	51.6	
		4350	48.8	4350	51.6	
		4320	48.8	4320	51.6	
		4290	48.8	4290	51.6	
		4260	48.8	4260	51.6	
		4200	48.8	4200	51.6	
		4170	48.8	4170	51.6	
		4140	48.8	4140	51.6	
		4080	48.8	4080	51.6	
		4050	48.8	4050	51.6	
		4020	48.8	4020	51.6	
		3990	48.8	3990	51.6	
		3930	48.8	3930	51.6	
		3900	48.8	3900	51.6	
		3870	48.8	3870	51.7	
		3810	49.9	3810	51.7	
		3780	49.9	3780	52.7	
		3750	49.9	3750	53.8	
		3720	49.9	3720	53.8	
		3690	51.0	3690	53.9	
		3630	52.1	3630	53.9	
		3600	52.1	3600	56.1	
		3570	52.1	3570	56.1	
		3510	54.3	3510	56.1	
		3480	54.3	3480	57.2	
		3450	54.3	3450	58.3	
		3420	55.4	3420	58.3	
		3360	56.5	3360	59.4	
		3330	56.5	3330	60.6	
		3300	58.7	3300	60.6	
		3270	58.7	3270	62.8	
		3210	59.8	3210	62.8	
		3180	60.9	3180	62.9	
		3150	60.9	3150	65.0	
		3120	62.1	3120	65.0	
		3060	63.1	3060	66.1	
		3030	63.1	3030	66.2	
		3000	63.2	3000	67.2	
		2940	64.3	2940	67.3	
		2910	65.4	2910	67.3	
		2880	65.4	2880	68.4	
		2850	65.4	2850	68.4	
		2790	65.4	2790	68.4	
		2760	65.4	2760	68.4	
		2730	66.5	2730	69.5	
		2700	66.5	2700	69.5	
		2640	66.5	2640	69.5	
		2610	66.5	2610	70.6	
		2580	67.6	2580	70.6	
		2520	68.7	2520	70.6	
		2490	68.7	2490	71.7	
		2460	68.7	2460	71.8	
		2430	68.7	2430	72.8	
		2370	68.7	2370	72.8	
		2340	69.8	2340	72.8	
		2310	70.9	2310	72.9	
		2280	70.9	2280	72.9	
		2220	70.9	2220	72.9	
		2190	70.9	2190	74.0	
		2160	70.9	2160	75.1	
		2130	70.9	2130	75.1	
		2070	70.9	2070	75.1	
		2040	72.0	2040	75.1	
		2010	72.0	2010	75.1	
		1980	72.0	1980	75.1	
		1920	72.0	1920	75.1	
		1890	73.1	1890	75.1	
		1860	73.1	1860	75.1	
		1800	73.1	1800	75.2	
		1770	73.1	1770	75.2	
		1739	73.1	1739	76.2	
		1709	73.1	1709	77.3	
		1649	74.2	1649	77.3	
		1619	74.2	1619	77.3	
		1589	74.2	1589	77.4	
		1559	75.3	1559	78.5	
		1499	76.4	1499	79.5	
		1469	77.5	1469	79.6	
		1439	77.5	1439	80.7	
		1379	77.5	1379	81.8	
		1349	78.6	1349	81.8	
		1319	78.6	1319	81.8	
		1289	79.7	1289	82.9	
		1229	79.7	1229	84.0	
		1199	80.8	1199	85.1	
		1169	81.9	1169	85.1	
		1139	83.0	1139	85.2	
		1079	83.0	1079	87.3	
		1049	84.1	1049	87.3	
		1019	84.1	1019	87.4	
		989	84.1	989	87.4	
		929	85.2	929	89.6	
		899	85.2	899	88.5	
		869	85.2	869	88.5	
		809	86.3	809	89.6	
		779	87.4	779	90.7	
		749	87.4	749	90.7	
		719	87.4	719	90.7	
		659	87.4	659	90.7	
		629	87.4	629	90.7	
		599	87.5	599	91.8	
		569	88.6	569	91.8	
		509	89.6	509	91.8	
		479	89.6	479	91.9	
		449	89.6	449	93.0	
		419	89.7	419	94.1	
		359	90.8	359	94.1	
		329	90.8	329	94.1	
		299	90.8	299	94.1	
		239	91.9	239	95.2	
		209	93.0	209	96.3	
		179	93.0	179	96.3	
		149	93.0	149	96.3	
		89	93.0	89	96.3	
		59	94.1	59	96.4	
		29	94.1	29	97.4	
